time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.266,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.279,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.287,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.849, 16.521, 4.351,0.493, 0.972, -0.335,27.633, 359.391, 4.980,0.472, 0.817, 0.268,0.490, 0.841, -0.085,null,null,null,0.398, 0.863, -0.031
0.300,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.306,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.328,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.341,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.361,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
0.368,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.402, -0.277,45.860, 16.476, 4.368,0.493, 0.972, -0.335,27.559, 359.437, 5.198,0.472, 0.817, 0.268,0.490, 0.841, -0.084,null,null,null,0.398, 0.863, -0.031
